A1,A2,A3,A4,A5,A6,A7,A8,A9,Class
-0.821754,-0.825825,0.819512,-0.120209,0.824529,0.315521,-0.651578,-0.482725,1.914748,1
-0.293929,-0.857115,0.962424,-0.468201,0.732778,0.070226,-0.4145,-0.482725,1.182293,1
-0.28729,-0.919695,0.951431,0.120709,0.129847,0.070226,-0.313922,-0.482725,1.391566,1
-0.333765,-0.982275,1.028384,-0.414664,0.182276,0.151991,-0.184606,-0.482725,-0.596525,1
-0.297249,-0.888405,0.896465,-0.816193,0.811422,0.102932,-0.292369,-0.482725,-0.596525,1
-0.277331,-1.310821,0.863485,-0.173746,0.968708,0.168344,-0.292369,-0.482725,0.031293,1
-0.131266,-1.044855,0.874478,-0.254052,0.405098,0.233756,-0.198975,-0.482725,-0.596525,1
0.210659,0.128523,0.874478,-0.254052,-0.918729,0.086579,0.030919,-0.482725,-0.596525,1
2.756835,0.910776,1.11633,-1.967244,-1.416803,-0.780129,0.620021,-0.482725,0.449839,1
1.282907,-0.309538,1.193283,-1.753095,-0.8663,-0.600246,0.763705,-0.482725,-0.596525,1
0.204019,0.269329,0.731566,-0.575275,-0.748335,0.151991,-0.033739,-0.482725,-0.596525,1
-0.041635,-0.84147,0.874478,-0.414664,0.391991,0.168344,-0.378579,-0.482725,-0.596525,1
-0.274011,-0.027927,1.072357,-0.68235,0.182276,0.119285,-0.493526,-0.482725,0.554475,1
0.466272,0.629165,0.984411,-0.334358,-1.220195,-0.616599,-0.206159,1.420083,-0.596525,1
1.113605,0.112878,1.160303,-1.45864,-0.840086,-0.518481,0.469153,-0.482725,0.135929,1
1.047212,-0.559859,1.061364,-1.538946,-0.564835,-0.502128,0.641574,-0.482725,1.182293,1
1.538521,-0.153088,0.984411,-1.672789,-0.8663,-0.616599,0.871467,-0.482725,-0.282616,1
-0.808476,-0.497279,0.995404,0.201015,0.588599,0.282815,-0.80963,-0.482725,-0.596525,2
-0.818435,-0.606794,0.984411,0.174246,0.614814,0.315521,-0.716235,-0.482725,-0.596525,2
-0.635854,0.050298,1.017391,0.254552,-0.342012,0.266462,-0.665946,-0.482725,-0.596525,2
-0.811795,-0.857115,0.918451,1.807133,0.011882,0.315521,-0.709051,-0.482725,-0.596525,2
-0.632534,0.003363,0.951431,-0.521738,0.20849,0.299168,-0.615657,-0.482725,-0.596525,2
-0.702247,-0.074862,0.984411,0.120709,0.090525,-0.076951,-0.536631,-0.482725,-0.596525,2
-0.888148,-0.262603,0.885472,0.067172,0.785207,-0.191422,-0.665946,-0.482725,-0.596525,2
-0.825074,-0.450343,0.797525,0.361627,0.798314,-0.698364,-0.407316,-0.482725,1.391566,2
-0.602657,-1.02921,0.181903,-0.013134,0.811422,0.119285,-0.119949,-0.179379,1.705475,2
2.949375,0.61352,0.511701,-2.101087,-2.727523,-0.682011,1.927541,-0.482725,-0.596525,2
1.279588,1.599158,-2.951178,-1.190954,0.024989,-0.649305,1.841331,-0.482725,0.240566,2
0.184101,0.081588,1.259243,-0.49497,-0.132297,0.119285,-0.536631,-0.482725,0.868384,2
0.034717,-0.481634,1.413148,-0.68235,-0.276476,0.168344,-0.378579,-0.482725,-0.596525,2
1.130203,-0.325183,1.094344,-0.789424,0.129847,0.070226,-0.313922,-0.482725,-0.596525,2
-0.562821,-0.731954,1.017391,-0.49497,0.129847,0.102932,-0.256448,-0.482725,-0.596525,2
-0.084791,-0.121797,1.281229,-0.521738,0.169169,0.03752,-0.601289,-0.482725,-0.596525,2
-0.416756,-0.81018,1.028384,0.334858,0.405098,0.184697,-0.608473,-0.482725,-0.596525,2
0.047995,-0.325183,1.039377,-1.003574,0.234705,0.119285,-0.392947,-0.234533,1.182293,2
-0.586059,-0.653729,0.54468,-0.575275,0.418205,0.135638,-0.105581,-0.482725,1.914748,2
-0.224216,0.378844,1.072357,-0.896499,0.156061,-0.632952,-0.256448,-0.482725,-0.596525,3
-0.752042,-0.121797,0.929445,-0.28082,0.024989,0.102932,-0.450421,-0.482725,-0.596525,3
0.96422,1.427062,1.336195,-1.646021,-1.508553,-0.812835,0.382943,-0.482725,-0.596525,3
0.944303,0.973356,1.18229,-2.315236,-1.128444,-0.632952,0.49789,-0.482725,-0.596525,3
-1.070729,0.942066,-0.004983,5.501204,-3.618813,1.934466,-2.217728,5.584198,-0.596525,4
1.110285,-2.890971,-0.884444,0.308089,0.274026,-0.044245,1.762305,-0.482725,-0.596525,4
0.937663,-0.685019,-2.5884,0.174246,0.968708,-0.600246,1.661726,-0.482725,2.333293,4
0.227257,0.926421,-0.323788,0.308089,-0.368227,-0.812835,0.440417,-0.482725,-0.596525,5
0.170823,2.475281,-2.093703,0.789925,-0.197833,-0.812835,0.713415,-0.482725,-0.596525,5
-2.342157,0.441424,0.566667,0.977305,0.20849,2.065289,-2.533832,2.798929,-0.596525,6
1.362579,2.271895,-0.53266,1.646521,-3.133846,0.429992,0.576916,-0.482725,-0.596525,6
-0.967819,1.145452,-2.951178,3.306176,0.968708,-0.682011,0.081208,1.199467,-0.073343,6
-0.609296,-2.280814,-2.951178,-0.68235,3.314897,3.602469,-0.01937,-0.482725,-0.596525,6
-0.592698,2.178025,-2.951178,1.459141,0.601706,-0.812835,-0.486342,4.232929,-0.596525,6
-0.728804,2.4127,-2.951178,2.208662,0.850743,-0.812835,-0.177422,1.364929,-0.596525,6
-0.503067,2.365765,-2.951178,1.459141,0.53617,-0.812835,-0.400132,3.902006,-0.596525,6
-0.725484,0.191104,0.951431,0.254552,0.44442,-0.175069,-0.84555,-0.482725,-0.596525,1
0.87127,0.441424,0.995404,-0.86973,-0.905622,-0.665658,0.318286,-0.482725,-0.596525,1
-0.227536,-1.185661,0.962424,-0.387895,0.562385,0.184697,-0.191791,-0.482725,0.868384,1
0.227257,0.300619,1.028384,-0.896499,-0.014332,-0.583893,-0.141501,-0.482725,-0.596525,1
0.270412,0.989001,0.984411,-0.200515,-0.748335,0.102932,-0.471973,-0.482725,-0.596525,1
1.047212,-0.559859,1.061364,-1.538946,-0.433763,-0.502128,0.641574,-0.482725,1.182293,1
-0.267372,-0.403408,1.017391,-1.057111,0.7721,0.119285,-0.515078,-0.482725,-0.596525,1
0.240535,0.754325,0.929445,-0.334358,-1.10223,0.021167,-0.127133,-0.179379,-0.596525,1
0.00816,-0.87276,1.08335,-0.548507,-0.106083,0.20105,-0.198975,-0.482725,3.065748,2
-0.101389,-0.638084,1.226263,-0.976805,0.549277,0.102932,-0.4145,-0.482725,0.659111,2
0.077872,-0.074862,0.819512,-0.039903,-0.512406,0.021167,-0.256448,-0.482725,-0.596525,2
-0.612616,0.238039,0.973418,0.067172,-0.263369,0.233756,-0.716235,-0.482725,-0.596525,2
-0.818435,-0.919695,0.918451,1.218223,0.274026,0.315521,-0.709051,-0.482725,-0.596525,2
-0.061553,0.488359,-2.951178,-2.368774,2.358071,-0.812835,1.46057,-0.482725,-0.596525,2
-0.635854,-0.012282,0.885472,0.201015,-0.001225,0.282815,-0.630025,-0.482725,0.449839,2
-0.652452,-1.342111,0.874478,1.137917,0.758993,0.217403,-0.630025,-0.482725,0.345202,2
-0.353683,-1.655012,0.03899,0.49547,0.287133,0.331874,0.196155,-0.482725,-0.596525,2
-0.200979,0.191104,0.797525,0.201015,-0.800764,0.135638,-0.119949,-0.482725,-0.596525,3
-0.552862,-0.262603,0.973418,-0.173746,0.064311,0.102932,-0.371395,-0.482725,0.449839,3
0.260453,-1.0605,-0.917424,1.111148,0.051204,0.168344,0.813994,-0.482725,-0.596525,4
0.439715,1.802544,-2.951178,-2.368774,1.086673,-0.812835,1.625806,-0.482725,-0.596525,5
-0.509707,1.802544,-2.951178,1.432372,0.837636,-0.812835,-0.313922,3.846852,0.135929,6
-0.363642,2.021574,-2.951178,2.396043,0.824529,-0.812835,-0.005002,1.337352,-0.596525,6
0.00484,1.427062,0.632626,2.074819,-1.836233,1.5747,-2.275201,4.012313,-0.596525,6
-0.798517,-0.96663,1.017391,0.468701,0.418205,0.233756,-0.637209,-0.482725,2.124021,1
-2.063306,-0.653729,0.863485,-0.86973,0.431313,0.20105,-0.436053,-0.482725,2.647202,1
-0.313847,-0.215668,1.028384,-0.548507,0.562385,0.086579,-0.637209,-0.482725,-0.596525,1
-0.270692,-0.638084,1.006398,-0.227283,0.44442,0.119285,-0.400132,-0.482725,0.554475,1
1.239752,0.504005,1.270236,-1.940476,-1.167766,-0.534834,0.562548,-0.482725,-0.596525,1
-0.224216,-1.498562,0.027997,-0.414664,1.375031,0.102932,0.074024,-0.482725,1.914748,1
1.296186,1.192387,1.237256,-1.779864,-1.705161,-0.812835,0.526627,-0.482725,-0.596525,1
-0.244134,-0.950985,1.072357,-0.468201,0.470634,0.168344,-0.285185,-0.482725,-0.596525,1
1.249711,1.254967,1.248249,-2.609691,-1.154659,-0.632952,0.440417,-0.482725,-0.596525,1
-0.38356,-0.84147,0.874478,-0.307589,0.509956,0.102932,-0.378579,-0.482725,-0.596525,1
0.00152,-0.419053,0.170909,-0.441432,0.260919,0.086579,0.081208,-0.482725,-0.596525,1
-0.144545,-0.309538,0.874478,-0.09344,-0.014332,0.151991,-0.378579,-0.482725,-0.596525,1
0.877909,0.363199,1.984798,-0.923268,-1.141552,-0.714717,-0.148686,-0.482725,-0.596525,1
-0.270692,-1.09179,0.808519,-0.655581,0.719671,0.151991,-0.227711,-0.482725,-0.596525,1
1.193277,1.489643,1.281229,-1.485409,-1.692054,-0.56754,0.138681,-0.482725,-0.596525,1
-0.274011,0.112878,1.160303,-0.735887,0.44442,0.151991,-0.665946,-0.482725,-0.596525,1
-0.174422,-0.512924,0.885472,-0.441432,0.274026,0.168344,-0.335474,-0.482725,-0.596525,1
-0.234175,-0.309538,1.105337,-0.414664,-0.053654,0.119285,-0.529447,-0.482725,-0.596525,1
-0.19102,-0.309538,0.775539,-0.307589,0.142954,0.151991,-0.263632,-0.482725,-0.596525,1
-0.881508,-1.076145,0.852492,0.308089,0.719671,0.282815,-0.622841,-0.482725,1.914748,1
-0.337085,-0.606794,0.940438,0.656082,0.103633,0.070226,-0.371395,-0.482725,0.135929,1
-0.250774,0.754325,1.006398,-0.227283,0.103633,-0.027892,-0.80963,-0.482725,-0.596525,1
-0.28397,-0.93534,0.973418,-0.254052,0.483741,0.20105,-0.263632,-0.482725,-0.596525,1
1.249711,1.254967,1.248249,-2.609691,-1.154659,-0.632952,0.440417,-0.482725,-0.596525,1
0.247175,0.76997,1.14931,-0.709119,-0.695907,-0.714717,-0.048107,-0.482725,-0.596525,1
-0.240815,-0.669374,0.940438,-0.628813,0.457527,0.250109,-0.306737,-0.482725,-0.596525,1
-0.310527,-0.168733,1.006398,-0.816193,0.575492,0.135638,-0.565368,-0.482725,-0.596525,1
-0.121307,0.472714,1.369175,0.254552,-1.10223,0.070226,-0.536631,-0.482725,0.97302,2
0.024758,-0.246958,1.18229,-0.334358,-0.328905,0.135638,-0.385763,-0.482725,-0.596525,2
-0.57942,-0.87276,0.907458,-0.013134,0.470634,0.299168,-0.522263,-0.317263,2.019384,2
0.768361,0.222394,-0.653586,0.602544,-0.617263,0.053873,0.440417,0.261852,1.182293,2
-0.695608,-0.638084,0.984411,0.254552,0.234705,0.184697,-0.658762,-0.482725,-0.596525,2
-0.426715,0.488359,1.094344,0.977305,-0.77455,0.233756,-0.773709,-0.482725,-0.596525,2
-0.871549,2.271895,1.08335,0.789925,-1.023587,-0.551187,-1.147286,-0.482725,0.659111,2
0.031397,0.003363,1.325202,-0.307589,-0.355119,0.021167,-0.486342,-0.482725,-0.596525,2
0.014799,-0.606794,1.028384,-1.030342,-0.407548,0.233756,0.124313,-0.482725,0.97302,2
-0.542903,-0.168733,1.050371,0.227784,-0.158511,0.250109,-0.665946,-0.482725,2.43793,2
-0.489789,-1.154371,0.214882,0.709619,0.732778,0.380933,-0.299553,-0.482725,-0.596525,2
2.99585,-3.735804,-2.951178,-1.86017,0.562385,-0.812835,4.312687,-0.482725,-0.596525,2
-0.725484,-0.622439,0.896465,0.09394,0.313348,0.168344,-0.601289,-0.482725,-0.596525,2
-0.798517,-0.606794,0.962424,0.254552,0.601706,0.36458,-0.75934,-0.482725,-0.596525,2
-0.025037,-0.262603,1.336195,-0.09344,-0.420655,0.086579,-0.464789,-0.482725,0.449839,2
-0.688968,-1.09179,0.709579,0.120709,0.824529,0.282815,-0.515078,-0.482725,-0.596525,2
-0.054914,-1.232596,0.082963,-1.646021,1.51921,-0.24048,0.332654,-0.482725,1.496202,2
-0.805156,-0.497279,0.918451,0.281321,0.287133,0.299168,-0.651578,-0.482725,0.345202,2
-0.157823,-0.340828,1.336195,-0.387895,-0.420655,0.086579,-0.371395,-0.482725,2.333293,2
-0.808476,-0.246958,0.841499,-0.039903,0.68035,0.184697,-0.788077,-0.482725,-0.596525,2
-0.078152,0.034653,1.424142,-0.709119,-0.21094,0.135638,-0.579736,-0.482725,-0.596525,2
0.014799,-0.747599,1.160303,-0.896499,-0.486191,0.233756,0.002182,-0.482725,1.705475,2
-0.486469,-0.121797,0.940438,0.441933,-0.145404,0.299168,-0.608473,-0.482725,-0.596525,2
-0.682329,-0.106152,0.973418,0.334858,0.287133,0.184697,-0.766525,-0.482725,-0.596525,2
-0.084791,-0.700664,0.302829,-0.039903,0.352669,0.168344,-0.119949,-0.096648,-0.596525,2
-0.742083,0.80126,0.918451,-0.521738,0.300241,-0.207775,-0.730604,-0.482725,0.868384,2
-1.419293,1.317547,0.445741,1.700058,-0.486191,0.985993,-1.348443,-0.482725,-0.596525,2
-0.539584,-0.96663,0.918451,0.254552,0.929386,0.266462,-0.75934,-0.482725,-0.596525,2
2.746876,-3.407258,-2.951178,-1.806632,0.732778,-0.812835,4.11153,-0.482725,-0.596525,2
-0.752042,0.019008,0.786532,-0.602044,0.051204,0.151991,-0.457605,-0.482725,-0.596525,3
-0.015078,-0.121797,0.720573,0.254552,-0.669692,0.102932,0.023735,-0.482725,-0.596525,3
-0.569461,-0.419053,0.841499,0.843462,-0.224047,0.168344,-0.4145,-0.482725,1.182293,3
-0.632534,-0.575504,0.786532,-0.49497,0.470634,0.03752,-0.270817,-0.482725,-0.596525,3
-0.473191,-0.857115,0.984411,-0.361126,-0.053654,0.184697,-0.119949,-0.482725,-0.596525,3
-0.134586,0.144168,0.742559,0.49547,-0.931836,0.119285,-0.105581,-0.482725,0.345202,3
-0.642493,-1.952268,0.918451,-0.254052,0.313348,0.119285,-0.306737,-0.482725,-0.596525,3
1.043892,-3.720159,-1.07133,0.308089,1.034244,0.135638,1.913173,-0.482725,-0.596525,4
-1.728021,-0.606794,-2.951178,4.269847,-2.845488,9.342365,-1.434653,-0.482725,-0.596525,4
0.735164,-0.87276,-1.181262,1.940976,-0.617263,0.429992,0.533811,0.179121,4.73993,4
1.767577,0.050298,-2.951178,0.361627,-0.564835,-0.289539,2.358591,-0.482725,-0.596525,4
0.522706,-0.215668,-2.951178,0.843462,0.496849,-0.044245,1.697647,-0.482725,-0.596525,4
-1.711422,-0.638084,-2.951178,4.21631,-2.557129,9.342365,-1.456205,-0.482725,-0.596525,4
-1.784455,1.552223,-1.03835,0.254552,2.489143,-0.812835,-0.98205,-0.482725,-0.596525,5
0.051315,1.067226,-0.543653,0.575776,0.024989,-0.812835,0.260812,-0.482725,-0.596525,5
-0.025037,1.646093,-0.488687,0.468701,-0.355119,-0.812835,0.217707,-0.482725,-0.596525,5
0.263773,1.161097,-2.951178,1.726827,0.11674,-0.812835,1.381544,-0.482725,-0.596525,5
-0.652452,1.505288,-2.951178,3.466788,0.260919,-0.812835,0.354207,1.006429,-0.596525,6
1.588316,0.050298,0.720573,-0.575275,-0.355119,0.168344,-0.091212,-0.482725,-0.596525,6
-0.708886,1.239322,-2.951178,3.600631,1.060458,-0.747423,0.059656,0.620352,0.345202,6
-0.390199,2.099799,-2.951178,1.485909,0.483741,-0.812835,-0.306737,3.902006,0.240566,6
-0.635854,2.397055,-2.951178,1.137917,0.601706,-0.812835,-0.206159,3.32289,-0.596525,6
-0.416756,1.286257,-2.951178,1.700058,0.929386,-0.812835,-0.24208,4.122621,-0.596525,6
-0.931303,0.723035,-2.951178,2.931415,0.758993,-0.583893,0.32547,1.751006,-0.491889,6
-0.615936,1.520933,-2.951178,1.325297,1.257066,-0.812835,-0.342658,3.846852,-0.596525,6
0.758402,1.489643,-2.951178,1.539446,1.00803,-0.812835,-0.371395,4.03989,-0.596525,6
-0.347044,2.4127,-2.951178,0.950537,0.44442,-0.812835,-0.249264,3.791698,-0.596525,6
-0.755361,2.506571,-2.951178,2.851109,0.523063,-0.73107,-0.091212,0.978852,-0.596525,6
-0.708886,1.145452,-2.951178,3.841549,-0.053654,-0.682011,0.160234,2.440429,-0.596525,6
1.113605,0.159813,1.292222,-1.512178,-1.128444,-0.436716,0.418864,-0.482725,0.554475,1
-0.167782,-1.0605,0.819512,-0.68235,0.391991,0.20105,-0.141501,-0.482725,2.542566,1
1.047212,-0.450343,0.984411,-1.45864,-0.591049,-0.436716,0.620021,-0.482725,1.077657,1
-0.244134,-1.248241,0.995404,-0.361126,0.837636,0.135638,-0.32829,-0.482725,-0.596525,1
-0.174422,-1.138726,1.08335,-0.762656,0.601706,0.184697,-0.184606,-0.482725,-0.596525,1
-0.144545,-0.96663,0.896465,-0.86973,0.496849,0.233756,-0.134317,-0.482725,-0.596525,1
0.107749,-0.340828,0.753552,-0.709119,0.090525,0.119285,-0.091212,-0.482725,1.077657,1
0.429756,2.13109,1.171296,-3.091527,-0.826979,-0.763776,0.030919,-0.482725,-0.596525,1
-0.194339,-0.309538,0.13793,-0.414664,0.431313,0.021167,0.045287,-0.482725,0.345202,1
-0.227536,-1.326466,0.918451,-0.039903,0.654135,0.119285,-0.299553,-0.482725,-0.596525,1
-0.177741,-1.123081,0.940438,-0.28082,0.391991,0.119285,-0.148686,-0.482725,-0.596525,1
-0.250774,-0.93534,0.940438,-0.575275,0.7721,0.135638,-0.407316,-0.482725,-0.596525,1
-0.894787,-0.184378,0.841499,-0.628813,0.11674,0.102932,-0.278001,-0.482725,-0.596525,1
-0.09475,0.034653,0.203889,-0.68235,0.247812,0.086579,0.052471,-0.482725,-0.596525,1
0.29697,-0.325183,0.709579,-0.441432,-0.381334,0.168344,0.131497,-0.482725,0.554475,1
-0.38688,-0.043572,0.896465,-0.789424,0.260919,0.004814,-0.378579,-0.482725,-0.596525,1
1.604914,0.488359,1.138317,-2.502617,-1.180873,-0.665658,0.792441,-0.482725,1.077657,1
-0.204298,-0.87276,0.874478,-0.575275,0.418205,0.184697,-0.285185,-0.234533,1.705475,1
0.811516,0.58223,-0.444714,-0.039903,-0.8663,-0.011539,0.641574,-0.482725,1.182293,2
2.119461,-3.063067,-2.951178,1.164686,-0.604156,0.511757,3.077009,-0.482725,2.961112,2
-0.539584,-0.84147,0.962424,0.522238,0.641028,0.250109,-0.694683,-0.482725,-0.596525,2
0.038036,0.363199,1.303216,-0.468201,-0.905622,0.070226,-0.457605,-0.482725,2.751839,2
-0.430035,0.112878,0.874478,0.709619,-0.171619,0.20105,-0.694683,-0.482725,-0.596525,2
0.117708,-0.747599,1.072357,0.308089,-0.184726,0.135638,-0.292369,-0.482725,0.659111,2
-0.496428,-0.278248,0.940438,0.09394,0.247812,0.102932,-0.615657,-0.482725,-0.596525,2
1.903683,0.660455,0.236869,-0.735887,-1.967305,-0.682011,1.316886,-0.482725,-0.596525,2
5.166905,-1.733237,-2.951178,-1.190954,-3.264918,-0.616599,5.19634,-0.482725,1.914748,2
2.580893,0.457069,-2.951178,-0.227283,-1.84934,-0.502128,3.220692,-0.482725,0.449839,2
-0.5761,-0.747599,0.940438,0.468701,0.405098,0.233756,-0.665946,-0.482725,1.600839,2
0.609017,0.895131,-1.467087,0.49547,-1.167766,-0.175069,1.15165,-0.482725,1.28693,2
-0.76864,-0.794535,0.830505,0.013634,0.53617,-0.093304,-0.493526,-0.482725,-0.596525,2
-0.423396,-0.638084,0.863485,0.923768,0.090525,0.266462,-0.558184,-0.482725,-0.596525,2
1.130203,0.535295,-1.840858,-0.227283,-0.604156,-0.273186,1.568332,-0.482725,-0.596525,2
4.277237,-4.18951,-2.951178,1.753596,-3.72367,0.135638,3.120114,8.204005,2.333293,2
3.121997,-1.201306,-2.951178,-2.074319,-0.826979,-0.714717,3.910373,-0.482725,-0.596525,2
-0.310527,-1.889688,0.621633,-0.762656,1.178423,0.20105,-0.040923,-0.482725,1.914748,2
-0.818435,-0.262603,0.720573,0.067172,0.588599,-0.175069,-0.529447,-0.482725,-0.596525,2
0.323527,0.363199,0.940438,-1.86017,-0.001225,-0.551187,-0.048107,-0.069071,1.914748,3
1.243072,1.223677,1.204276,-1.431872,-1.692054,-0.436716,0.131497,-0.482725,3.275021,3
-0.19102,0.363199,1.061364,-2.127856,0.457527,-0.714717,-0.01937,-0.482725,-0.596525,3
-0.602657,0.003363,0.775539,-0.441432,-0.014332,0.03752,-0.220527,-0.482725,-0.596525,3
0.439715,-1.201306,-2.951178,0.549007,1.440567,-0.191422,1.848515,-0.482725,-0.596525,4
-0.566141,-0.857115,-2.951178,1.030842,1.610961,0.773404,0.871467,-0.482725,-0.596525,4
0.685369,-0.043572,-2.951178,-0.120209,-0.525513,-0.273186,2.54538,-0.482725,-0.596525,4
-2.395271,6.214447,-2.951178,-2.957684,3.616363,-0.812835,-1.657362,-0.482725,-0.596525,5
0.333486,0.597875,-0.301801,-0.68235,0.142954,-0.812835,0.5841,-0.482725,-0.596525,5
-1.014295,1.520933,-2.951178,3.252639,0.588599,-0.747423,0.088392,1.282198,-0.596525,6
-0.742083,0.73868,-0.994377,0.923768,0.588599,-0.812835,-0.206159,1.613121,-0.596525,6
-0.778599,2.25625,-2.951178,2.503117,0.824529,-0.812835,-0.141501,1.282198,0.345202,6
-0.018398,1.536578,-2.951178,1.004074,0.274026,1.492935,-1.786677,7.459429,-0.596525,6
1.754299,3.726885,-0.939411,-0.361126,-2.911024,-0.305892,-0.249264,4.150198,-0.596525,6
-1.090647,2.725601,-2.951178,2.155125,1.112887,-0.812835,-0.443237,1.254621,-0.596525,6
-1.070729,2.25625,-2.951178,2.610192,1.401246,-0.812835,-0.407316,1.061583,-0.596525,6
